data.name,model,model.N,model.epsilon_theta,model.d_h,model.T_h,model.T_p,model.sample_strategy,model.sample_steps,model.beta_end,n_samples,epoch,best_epoch,batch_size,lr,wd,early_stop,is_test,log_time,mae,rmse,mape,crps,mis,time,model_path,log_path,forecast_path
PEMS08,UGnet,200,UGnet,32,12,12,ddim_multi,40,0.1,8,300,0,8,0.002,1e-05,10,True,0:58:12,364.01077,457.41284,250.78673,0.804146264728747,1955.7289,21.500925227999687,/gpfs/home/rmn3157/DiffSTG-main/output/model/UGnet+32+200+quad+0.1+200+ddpm+12+8+True+PEMS08+0.0+True+False+0.002+8N-200+T_h-12+T_p-12+epsilon_theta-UGnet.dm4stg,/gpfs/home/rmn3157/DiffSTG-main/output/log//UGnet+32+200+quad+0.1+200+ddpm+12+8+True+PEMS08+0.0+True+False+0.002+8.log,/gpfs/home/rmn3157/DiffSTG-main/output/forecast/UGnet+32+200+quad+0.1+200+ddpm+12+8+True+PEMS08+0.0+True+False+0.002+8.pkl
PEMS08,UGnet,200,UGnet,32,12,12,ddim_multi,40,0.1,8,300,0,8,0.002,1e-05,10,True,1:13:29,364.01077,457.41284,250.78673,0.804146264728747,1955.7289,21.39746320620179,/gpfs/home/rmn3157/DiffSTG-main/output/model/UGnet+32+200+quad+0.1+200+ddpm+12+8+True+PEMS08+0.0+True+False+0.002+8N-200+T_h-12+T_p-12+epsilon_theta-UGnet.dm4stg,/gpfs/home/rmn3157/DiffSTG-main/output/log//UGnet+32+200+quad+0.1+200+ddpm+12+8+True+PEMS08+0.0+True+False+0.002+8.log,/gpfs/home/rmn3157/DiffSTG-main/output/forecast/UGnet+32+200+quad+0.1+200+ddpm+12+8+True+PEMS08+0.0+True+False+0.002+8.pkl
